pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
197479,8436205035.224169731140,8436205035.268352508545,4.418277740479e-02,8436205035.246261596680,24.6391273464,4122.7524283537,2.2025276531e-02,0.9970073329,0.2849064863,12.8967214409,0
197567,8436205061.552587509155,8436205061.579770088196,2.718257904053e-02,8436205061.566179275513,20.3077951429,10847.3210367564,1.3578561104e-02,0.9990634873,0.3138221627,23.0899475865,0
197994,8436205189.286981582642,8436205189.326428413391,3.944683074951e-02,8436205189.306705474854,29.0411358133,5170.2559889656,1.9667944525e-02,0.9971875637,0.2624268086,13.3053430951,0
198037,8436205202.127531051636,8436205202.169597625732,4.206657409668e-02,8436205202.148564338684,17.2752293494,4538.0794317245,2.0993214886e-02,0.9980948217,0.3402538805,16.1769237357,0
198051,8436205206.344033241272,8436205206.386747360229,4.271411895752e-02,8436205206.365390777588,22.0771150275,4406.8497770502,2.1303495789e-02,0.9974919914,0.3009842967,14.0929652305,0
198164,8436205240.006555557251,8436205240.045485496521,3.892993927002e-02,8436205240.026020050049,18.2894319243,5296.9353893761,1.9431335935e-02,0.9982720908,0.3306853000,16.9887395793,0
198328,8436205289.229950904846,8436205289.263285636902,3.333473205566e-02,8436205289.246618270874,40.4071862631,7239.8029762469,1.6620788537e-02,0.9972054678,0.2224772937,13.3480775167,0
198364,8436205299.822593688965,8436205299.839408874512,1.681518554688e-02,8436205299.831001281738,41.2184200308,28334.7174269511,8.4014752991e-03,0.9992723869,0.2202770885,26.1997808912,0
198686,8436205396.076166152954,8436205396.109096527100,3.293037414551e-02,8436205396.092631340027,19.3930729550,7396.6796928641,1.6443588182e-02,0.9986882086,0.3211379881,19.5040594844,0
199255,8436205566.252832412720,8436205566.283880233765,3.104782104492e-02,8436205566.268356323242,19.1462439720,8318.1838765810,1.5506034276e-02,0.9988484702,0.3232013778,20.8195852037,0
